,epoch,valid_acc,train_acc,valid_loss,train_loss,average time per epoch
0,0,0.664299242,0.539121687,0.858612741,1.10702845,5634.48/19 =313
1,1,0.740056818,0.707149625,0.682275422,0.75931427,
2,2,0.903409091,0.864938498,0.282423988,0.382956322,
3,3,0.928503788,0.925899625,0.197138433,0.208903994,
4,4,0.9375,0.949337125,0.179362113,0.141449622,
5,5,0.939867424,0.96484375,0.165432026,0.099241729,
6,6,0.942234848,0.978456497,0.210614369,0.063648552,
7,7,0.930871212,0.990707874,0.278707618,0.028915894,
8,8,0.943655303,0.993252873,0.203722061,0.020974885,
9,9,0.940814394,0.989464998,0.235290668,0.028531573,
10,10,0.943655303,0.985262811,0.228919969,0.040244587,
11,11,0.942708333,0.988932312,0.272388142,0.029688779,
12,12,0.946496212,0.997277498,0.263299213,0.00971242,
13,13,0.944128788,0.99378556,0.285547665,0.017750527,
14,14,0.948390152,0.993016124,0.255723429,0.019281293,
15,15,0.946969697,0.996626437,0.28808818,0.010889803,
16,16,0.954545455,0.999644935,0.266362498,0.001263942,
17,17,0.955965909,1,0.294634938,0.000227184,
18,18,0.955492424,1,0.294345255,5.84E-05,
19,19,0.955018939,1,0.293976632,4.29E-05,
20,20,0.955018939,1,0.299646864,3.50E-05,
21,21,0.955492424,1,0.301637636,2.93E-05,
22,22,0.955492424,1,0.303054308,2.50E-05,
23,23,0.955492424,1,0.307506896,2.15E-05,
24,24,0.955018939,1,0.309194629,1.87E-05,
25,25,0.955492424,1,0.312373412,1.63E-05,
26,26,0.955018939,1,0.315160895,1.43E-05,
27,27,0.955018939,1,0.317687808,1.26E-05,
28,28,0.955492424,1,0.320093155,1.11E-05,
29,29,0.955492424,1,0.322721921,9.82E-06,
30,30,0.955018939,1,0.325548258,8.68E-06,
31,31,0.954545455,1,0.326092323,7.69E-06,
32,32,0.95407197,1,0.3314989,6.80E-06,
33,33,0.954545455,1,0.332869689,6.03E-06,
34,34,0.954545455,1,0.336800374,5.36E-06,
35,35,0.954545455,1,0.33847411,4.74E-06,
36,36,0.954545455,1,0.341669463,4.22E-06,
37,37,0.953598485,1,0.343752404,3.73E-06,
